"hypothesis_id","hypothesis_family_id","hypothesis_statement","hypothesis_family_statement","short_label","hypothesis_family_label","data_path","approach","subset_role","model_suffix","output_prefix","term","canonical_term","label","label_short","estimate","p_value","symbol"
"H1","H1","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy Effect","Empathy Effect","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H1_B_Victim","iri_pt","iri_pt","Empathy: Perspective taking","PT",1.31694851663138,0.0104116001605727,"*"
"H1","H1","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy Effect","Empathy Effect","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H1_B_Victim","decision_accept","decision_accept","Harm Accepted","Acc",-9.64711788130206,9.02383429406087e-34,"***"
"H2","H2","Moral judgments vary with the joint judged-plus-counterpart negotiator structure, and in the bystander subset that structure may also depend on player-victim alignment.","Moral judgments vary with the joint judged-plus-counterpart negotiator structure, and in the bystander subset that structure may also depend on player-victim alignment.","Negotiator-Side Structure","Negotiator-Side Structure","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H2_B_Victim","iri_pt","iri_pt","Empathy: Perspective taking","PT",1.84274984953456,0.00260539745870516,"**"
"H2","H2","Moral judgments vary with the joint judged-plus-counterpart negotiator structure, and in the bystander subset that structure may also depend on player-victim alignment.","Moral judgments vary with the joint judged-plus-counterpart negotiator structure, and in the bystander subset that structure may also depend on player-victim alignment.","Negotiator-Side Structure","Negotiator-Side Structure","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H2_B_Victim","participant_engineering","participant_engineering","Engineering participant","Eng part.",1.27783031730951,0.0654892377725705,"+"
"H3","H3","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","Empathy x Judged Status","Empathy x Judged Status","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H3_B_Victim","decision_accept","decision_accept","Harm Accepted","Acc",-8.78033393790057,2.72928098541771e-20,"***"
"H3","H3","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","Empathy x Judged Status","Empathy x Judged Status","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H3_B_Victim","iri_pt:judged_ingroup","iri_pt:judged_ingroup","Empathy: Perspective taking x N1 ingroup","PT x N1-In",2.01228067854875,0.0399301327027021,"*"
"H3","H3","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","The empathy effect depends on the judged negotiator's ingroup, outgroup, or control status after retaining decision context and relational controls.","Empathy x Judged Status","Empathy x Judged Status","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_victim.csv","Tobit","Victim","B","H3_B_Victim","iri_pt:judged_outgroup","iri_pt:judged_outgroup","Empathy: Perspective taking x N1 outgroup","PT x N1-Out",1.99971143952224,0.0500488771884604,"+"
"H1","H1","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy Effect","Empathy Effect","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_bystander.csv","Tobit","Bystander","B","H1_B_Bystander","decision_accept","decision_accept","Harm Accepted","Acc",-8.68105068612626,1.00199595837612e-35,"***"
"H1","H1","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy Effect","Empathy Effect","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_bystander.csv","Tobit","Bystander","B","H1_B_Bystander","participant_engineering","participant_engineering","Engineering participant","Eng part.",1.02540526391612,0.0587676912259261,"+"
"H1","H1","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy dimensions are associated with moral judgment severity after conditioning on judged-negotiator status, counterpart status, decision outcome, and observer-side victim alignment when applicable.","Empathy Effect","Empathy Effect","C:/Users/LEONA/Documents/GitHub/TOBIT/data/processed/judgments_bystander.csv","Tobit","Bystander","B","H1_B_Bystander","age","age","Age","Age",0.289127581627578,0.00483366592052949,"**"
