"figure_file","figure_type","hypothesis","role","term","caption","interpretation"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_iri_subscale_radar.png","descriptive","All","All","IRI profile","Mean IRI subscale profile across participants.","This figure summarizes the central empathy profile of the sample before conditioning on hypothesis-specific models."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_bivariate_empathy_vs_mean_judgement.png","descriptive","All","All","Empathy correlations","Participant-level bivariate scatters of IRI subscales against mean judgement.","These scatterplots show the participant-level descriptive relationship between empathy dimensions and average judgement."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_by_role.png","descriptive","All","All","Judgement distribution","Observed judgement distributions split by role.","This figure shows the raw shape of the bounded judgement outcome in the victim and bystander subsets."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_decision_pattern_by_role.png","descriptive","All","All","Decision pattern","Observed decision patterns by role.","This figure summarizes how the four joint decision contexts are distributed across roles."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h1_victim_iri_pt.png","significance","H1","Victim","iri_pt","H1 Victim: model-implied predictions for Empathy: Perspective taking.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h2_bystander_bystander_n2_groupoutgroup.png","significance","H2","Bystander","bystander_N2_groupoutgroup","H2 Bystander: model-implied predictions for Bystander-N2 outgroup vs ingroup.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h2_bystander_victim_n1_groupoutgroup.png","significance","H2","Bystander","victim_N1_groupoutgroup","H2 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h2_bystander_victim_n2_groupoutgroup.png","significance","H2","Bystander","victim_N2_groupoutgroup","H2 Bystander: model-implied predictions for Victim-N2 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h2_bystander_bystander_n1_groupoutgroup_bystander_n2_groupoutgr.png","significance","H2","Bystander","bystander_N1_groupoutgroup:bystander_N2_groupoutgroup","H2 Bystander: model-implied predictions for Bystander-N1 outgroup vs ingroup x Bystander-N2 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h2_bystander_victim_n1_groupoutgroup_victim_n2_groupoutgroup.png","significance","H2","Bystander","victim_N1_groupoutgroup:victim_N2_groupoutgroup","H2 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup x Victim-N2 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
