"variable","source_role","mapping_note"
"ses","base dataset","Used directly as the socioeconomic covariate in all models."
"sex_female","base dataset","Used directly as the sex covariate in all models: 1 = woman, 0 = man, missing = not reported."
"role","base dataset","Used directly from the Version 2.0 file: 1 = victim, 0 = bystander."
"target","base dataset","Row-dynamic judged negotiator code from the source file: 1 or 2."
"judgement","base dataset","Observed moral judgement of the row-dynamic target negotiator on the bounded -9 to 9 scale."
"decision_target","base dataset","Active operational target-decision variable (legacy wording: accept_target): 1 = accept, 0 = reject for the row-dynamic target actor."
"decision_other","base dataset","Active operational counterpart-decision variable (legacy wording: accept_other): 1 = accept, 0 = reject for the non-target actor in the same row."
"faculty_player","base dataset","Used directly as participant faculty; re-labeled to Humanities / Engineering for modeling."
"faculty_target","base dataset","Used directly as the row-dynamic target faculty field for target/other relational coding."
"faculty_other","base dataset","Used directly as the row-dynamic counterpart faculty field for target/other relational coding."
"faculty_victim","base dataset","Used directly; equals faculty_player in victim rows and remains explicit in bystander rows."
"group_target","base dataset","Legacy row-relative target-group field from the source file; retained for auditing and provenance, not used directly in active H2/H3/H5 formulas."
"group_other","base dataset","Legacy row-relative other-group field from the source file; retained for auditing and provenance, not used directly in active H2/H3/H5 formulas."
"obs_group","base dataset","Legacy bystander-victim grouping from the source file; retained only for auditing, not as the main H2/H3/H5 predictor."
"source_row_number","all rows","One-to-one row identifier copied from the Excel import to prove that the preparation stage does not create new observations."
"role_label","all rows","Role decoded from the source file: victim or bystander."
"target_code_label","all rows","Target slot code from the source file (`target`): `target_code_1` or `target_code_2`."
"target_faculty","all rows","Faculty of the row-dynamic target negotiator (copied from faculty_target)."
"other_faculty","all rows","Faculty of the row-dynamic counterpart negotiator (copied from faculty_other)."
"victim_target_group","all rows","Victim-to-target relation: ingroup when faculties match, including control-control; outgroup otherwise."
"victim_other_group","all rows","Victim-to-other relation: ingroup when faculties match, including control-control; outgroup otherwise."
"bystander_victim_group","victim and bystander","Bystander-to-victim relation: ingroup or outgroup."
"bystander_target_group","victim and bystander","Bystander-to-target relation: ingroup when faculties match, including control-control; outgroup otherwise."
"bystander_other_group","bystander only","Bystander-to-other relation: ingroup when faculties match, including control-control; outgroup otherwise."
"target_other_same_faculty","all rows","Contextual target/other faculty relation: same when faculties match, including control-control; different otherwise."
"decision_pattern","all rows","Observed joint decision configuration from decision_target and decision_other, retaining the four target/other accept-reject combinations."
"faculty_player_factor","all rows","Participant faculty factor used in all models."
