"symbol","definition"
"judgement","Observed moral judgement on the bounded scale from -9 to 9."
"y*","Latent judgement tendency underlying the censored Tobit observation."
"iri_fs / iri_ec / iri_pt / iri_pd","IRI empathy dimensions: fantasy, empathic concern, perspective taking, and personal distress."
"target (row-dynamic)","Judged negotiator in that row; this role is dynamic and determined by the row-level `target` code."
"other (row-dynamic counterpart)","Counterpart negotiator in that same row context (the non-target actor)."
"target / other (analytical pair)","Analytical target/other pair used for relational modeling without fixed structural negotiator identities."
"decision_target","Indicator for whether the row-dynamic target negotiator accepted the harmful deal; active operational name for legacy wording accept_target."
"decision_other","Indicator for whether the row-dynamic other negotiator accepted the harmful deal; active operational name for legacy wording accept_other."
"victim_target_group / victim_other_group","Victim-specific relations to target and other, with ingroup defined by faculty coincidence including control-control matches."
"bystander_victim_group / bystander_target_group / bystander_other_group","Bystander-side relational factors for the victim and both negotiators, again using faculty coincidence as ingroup."
"group_target / group_other (legacy audit)","Legacy source grouping fields retained for provenance checks; not used directly in active H2/H3/H5 formulas."
"target_other_same_faculty","Context term indicating whether target and other share faculty membership."
"factor(session)","Session fixed effects included directly in every fitted formula."
"cluster = id","Participant-level clustering used for robust standard errors and repeated-measures adjustment."
"Log(scale)","Estimated Tobit log-scale parameter summarizing latent residual dispersion."
